Keys,en,pt_BR
BTJOGAR,PLAY,JOGAR
BTSAIR,QUIT,SAIR
BTDIAG,"press key ""Q""","pressione tecla ""Q"""
DIAG1,Hello adventurer!,Ola aventureiro!
DIAG2,"You can call me Bru, you must be confused, right?"," Pode me chamar de Bru, você deve estar confuso não é ?"
DIAG3,Unfortunately you are another victim of CHAOS he is a wizard with powers able to cross the timeline and space.,Infelizmente você é mais uma vitima do CAOS ele é um mago com poderes capaz de atravessar a linha do tempo e espaço.
DIAG4,You must reach it and defeat it if you want to return to your time!,Você deve alcançalo e derrota lo caso queira retorna ao seu tempo!
DIAG5,"'there is! that way you would forget me HA HA HA !, you have a problem and you can''t go on you will have to do better than that if you really want to beat Chaos, baby!'","ha! assim ja iria me esquecer HA HA HA!, você esta com um problema e nao consegue seguir adiante voce tera que fazer melhor que isso se quiser realmente vencer o Caos, bebê!"
DIAG6,Look from another perspective open your mind and you will always be able to find a way out!,"Olhe por outra perspectiva abra sua mente e você conseguira sempre, achar uma saida!"
DIAG7,"'Well don''t you understand yet? so I will help you whenever this symbol appears, this means that you can change the perspective that you see it will open up other paths for you.'","Bem não entendeu ainda? então irei ajudá lo toda vez que surgir este simbolo, isto quer dizer que voce podera trocar a perspectiva que você enxerga isto abrira outros caminhos para você."
DIAG8,Run adventurous the sands of time are already falling!,Corra aventureiro as areias do tempo ja estão caindo!
DIAG9,"Here again, I thought you were better than that!","Denovo aqui, pensei que você fosse melhor que isso!"
DIAG10,"'Just so that I won''t be the aunt of the contra and you say I''m a pessimist, come on you can get HERO, HA HA HA.'","Só para eu nao ser a tia do contra e você dizer que sou pessimista, vai la você consegue HERÓI, HA HA HA."
DIAG11,And here comes the great hero AGAIN haha this!,E la vem o grande heroi NOVAMENTE haha serio isso !
DIAG12,"Seriously, you just come here to see me, I’m sorry for you, but until I ... hihihi ...","Fala sério, você só vem aqui para me ver né, que pena sou demais para você, mas até que eu ... hihihi..."
DIAG13,"'I don''t need to say that if you were good I wouldn''t be seeing you so soon here, hahah!'",Eu nao preciso falar que se você fosse bom eu não estaria te vendo tão cedo aqui né hahah!
DIAG14,'I''ve seen a lot of defeated people in a thousand years but you are the master of this art!',Ja vi em mil anos muita gente derrotada mas você é o mestre nesta arte!
DIAG15,HA HA HA I think that CHAOS is drinking tea watching their pathetic defeats.,HA HA HA acho que o CAOS esta tomando chá assistindo suas pateticas derrotas.
DIAG17,The good son makes it home haha That way you will never be able to win me handsome HA HA HA.,O Bom filho a casa torna haha Desse jeito você nunca vai conseguir me consquistar garotão HA HA HA.
DIAG18,Doing the math here I noticed that I already saved you ,Fazendo as contas aqui notei que ja te salvei 
DIAG19,TIMES,VEZES
DIAG20,"Consider yourself lucky, I decided to help you just because I thought you were cute HAHA and I will send you back to the last kitten portal!","Se considere com sorte, decidi ajudar você só porque achei você fofo HAHA le mandarei de volta para o ultimo portal gatinho!"
DIAG21,Maaa Oeee! Congratulations young time traveler!,MAA Oee ! Meus parabéns meu jovem viajante do tempo!
DIAG22,You passed all my tests and even defeated my former show host!,Você passou por todos os meus testes e ainda derrotou o meu antigo apresentador do programa !
DIAG23,"And therefore, nothing more fair than that I invite you to be the new protagonist of my intergalactic program !!!","E por isso, nada mais justo do que eu te convidar a ser o novo protagonista do meu programa intergalático!!! "
DIAG24,So ... What do you think you will want to participate in the all for money intergalactic?,Então... O que você acha vai querer participar do topa tudo por dinheiroo intergalatico?
DIAG25,Well ... why not?,Bom... Por que não?
DIAG26,"Well Bru, you were right the boy was good he survived hiiii.","Pois é Bru, você tinha razão o menino era bom ele sobreviveu hiiii."
DIAG27,Then I will pay the money I bet with you!,Depois eu te dou uns aviõezinhos que apostei com voçe ! MAAA OIEE.
DIAG28,Atack click  left mouse buton,ATAQUE clique com botão esquerdo do mouse
,,
,,
DIAG29,"press key ""E""","pressione a tecla ""E"""
DIAG30,"JUMP press""SPACE""","SALTAR pressione""SPAÇO"""
,,
DIAG31,Hello adventurer,Ola aventureiro
DIAG32,I left that staff enchanted for you.,Deixei esse cajado encantado para você.
DIAG33,"This is one of my sacred weapons, it manages to change its shape through the ages.","Esta é uma das minhas armas sagradas, ela consegue comutar sua forma atraves das eras."
DIAG34,Use it to overcome CHAOS and return to your time.,Use a para vencer o CAOS e retorna ao seu tempo.
DIAG35,Run traveler time is against you!,Corra viajante o tempo esta contra você!
